retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Temp,Humidity
-8.285714286,0.428571429,-7.428571429,-19.85714286,-4.571428571,4.857142857,11.38571429,75.14285714
-6.857142857,1.714285714,-1.142857143,-18.42857143,-4.285714286,4.428571429,11.37142857,71.28571429
-6.857142857,1.428571429,-3.714285714,-18.42857143,-4.285714286,4.428571429,10.51428571,67.85714286
-5.714285714,2.428571429,2.285714286,-18,-4.142857143,4.142857143,9.514285714,60.71428571
-5.714285714,2.285714286,3.285714286,-17.71428571,-4.142857143,4.142857143,9.028571429,59.85714286
-4.714285714,2.428571429,3.428571429,-17,-4.142857143,4,9.485714286,62.28571429
-3,2.857142857,7.714285714,-19.42857143,-11.28571429,5.714285714,9.771428571,60.28571429
-1.857142857,4.142857143,18.14285714,-17.71428571,-11.28571429,5.142857143,10.95714286,54
-2.142857143,3.571428571,19.42857143,-17.28571429,-11.28571429,5.142857143,12.34285714,51.42857143
-1.714285714,3.571428571,22,-17,-11.28571429,5,12.8,52
-1.571428571,3.428571429,22,-16.71428571,-11.28571429,5,12.87142857,51.57142857
-0.857142857,4.142857143,23.57142857,-16.28571429,-11.28571429,4.857142857,12.6,50.57142857
-1.428571429,5.142857143,24.85714286,-16.71428571,-11.42857143,5,12.37142857,48.42857143
-3.857142857,4.714285714,17.85714286,-14.57142857,-4.714285714,3.428571429,12.61428571,51.42857143
-5.571428571,4.142857143,9.714285714,-17.14285714,-4.857142857,4,12.85714286,57
-8,3,3.571428571,-20.42857143,-5.714285714,4.571428571,10.97142857,63.71428571
-8.428571429,3.571428571,1.714285714,-21.42857143,-6.428571429,4.857142857,10.58571429,65.57142857
-9,4.142857143,1,-22.42857143,-6.857142857,5,10.81428571,70.57142857
-12.14285714,2.285714286,-7.571428571,-24.42857143,-7.714285714,5.714285714,11.01428571,78
-13.85714286,1.285714286,-9.428571429,-25.85714286,-8.428571429,6.142857143,11.14285714,77.28571429
-14.42857143,1.714285714,-4.428571429,-26.71428571,-9,6.285714286,10.65714286,74.57142857
-14.85714286,2.428571429,2.571428571,-27,-9.571428571,6.428571429,10.68571429,71.57142857
-14.71428571,3.714285714,6.571428571,-27.28571429,-10.14285714,6.571428571,11.62857143,68.28571429
-15.57142857,4.142857143,9,-27.85714286,-10.57142857,6.857142857,12.27142857,64.14285714
-16.71428571,4,10.14285714,-28.85714286,-11.42857143,7.285714286,12.64285714,60
-17,5,16.57142857,-30.14285714,-12.28571429,7.571428571,13.05714286,54.71428571
-18.71428571,4.428571429,15.85714286,-32,-13.28571429,8.142857143,12.97142857,57.14285714
-20.42857143,4.142857143,12.14285714,-33.85714286,-14.28571429,8.857142857,12.74285714,57
-21.71428571,3.857142857,8.857142857,-35.71428571,-15.71428571,9.428571429,12.12857143,55
-23.85714286,2.285714286,3.428571429,-37.85714286,-17,10,12.14285714,56.57142857
-27.42857143,-0.857142857,-5.142857143,-40.85714286,-18.28571429,10.85714286,11.55714286,64.28571429
-29,-1,-6.142857143,-42.85714286,-19.28571429,11.42857143,11.34285714,64.85714286
-29.28571429,-0.285714286,-6,-43.85714286,-20,11.71428571,11.27142857,63.14285714
-29.71428571,0.142857143,-5.857142857,-44.85714286,-20.71428571,12,11.04285714,63.71428571
-30.42857143,0.142857143,-6,-46,-21.42857143,12.28571429,11.21428571,65.57142857
-33,-2.428571429,-13.14285714,-47.71428571,-22,12.85714286,11.42857143,72.42857143
-33,-1.571428571,-8,-47,-22.14285714,12.71428571,12.05714286,69.57142857
-32.85714286,-0.571428571,-6.285714286,-47.28571429,-22.57142857,12.85714286,12.3,69.14285714
-34,-1.142857143,-6.571428571,-48,-23.28571429,13.14285714,12.77142857,73.14285714
-35.71428571,-2.714285714,-9.428571429,-49,-24,13.57142857,12.72857143,75.57142857
-37,-3.857142857,-11.28571429,-49.71428571,-24.57142857,14,12.75714286,74.14285714
-37.85714286,-4.571428571,-12.28571429,-50,-25,14.28571429,12.72857143,73.14285714
-36.85714286,-3,-6.857142857,-49,-25,14,12.7,68.14285714
-37.57142857,-3.857142857,-9.285714286,-49.71428571,-25.57142857,14.14285714,13.21428571,66.42857143
-37.28571429,-3.428571429,-5.857142857,-49.71428571,-26,14.28571429,13.65714286,64.14285714
