retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Temp,Humidity
-20.85714286,-3.714285714,-18.85714286,-27.42857143,-14.57142857,7.857142857,11.21428571,70
-20.28571429,-3.285714286,-17.57142857,-27.42857143,-14.57142857,7.857142857,10.98571429,71.42857143
-20.57142857,-4,-17.42857143,-28,-14.71428571,8,10.65714286,69.57142857
-21,-4.142857143,-19.28571429,-28.42857143,-14.71428571,8.142857143,9.985714286,71
-20.71428571,-3.714285714,-18.71428571,-28.57142857,-14.71428571,8.285714286,9.642857143,68.57142857
-21.42857143,-4.571428571,-23.42857143,-29.14285714,-15,8.571428571,8.9,72.85714286
-20.85714286,-4,-22.42857143,-28.85714286,-14.85714286,8.428571429,8.628571429,76.28571429
-20.85714286,-4.285714286,-22.28571429,-29,-15.14285714,8.571428571,8.6,76.57142857
-20.85714286,-4.428571429,-22.14285714,-29.28571429,-15.14285714,8.571428571,8.771428571,76.57142857
-20.28571429,-3.571428571,-20,-29.28571429,-15,8.571428571,9,73.71428571
-20,-3.714285714,-19.42857143,-29.14285714,-15,8.571428571,9.171428571,71
-20.14285714,-4,-19.28571429,-29,-15,8.428571429,9.314285714,73.14285714
-19.14285714,-3.142857143,-14.71428571,-28.42857143,-15,8.285714286,10,70.85714286
-19.28571429,-3.571428571,-14.85714286,-28.42857143,-15,8.285714286,10.24285714,69.71428571
-19.57142857,-4,-16.14285714,-28.57142857,-15,8.285714286,10.07142857,68.42857143
-19.28571429,-3.714285714,-16.85714286,-28.28571429,-15.14285714,8.285714286,9.314285714,65.42857143
-19,-3.571428571,-17.14285714,-28,-15.28571429,8.142857143,8.571428571,62.85714286
-19,-3.714285714,-17.71428571,-28.14285714,-15.42857143,8.142857143,7.857142857,58.57142857
-18.85714286,-3.571428571,-18.28571429,-28.14285714,-15.57142857,8.285714286,7.271428571,55.14285714
-19,-3.571428571,-20.14285714,-28.28571429,-15.42857143,8.285714286,6.471428571,52
-19,-3.285714286,-22.42857143,-28.42857143,-15.28571429,8.428571429,5.685714286,48.14285714
-18.42857143,-2.714285714,-22.14285714,-28.28571429,-15.28571429,8.428571429,5.228571429,45
-18.42857143,-3,-22.28571429,-28.42857143,-15.42857143,8.428571429,5.157142857,47.28571429
-17.85714286,-2.571428571,-21.85714286,-28.42857143,-15.42857143,8.428571429,5.6,48.85714286
-17,-1.428571429,-21.85714286,-28.28571429,-15.42857143,8.428571429,6.128571429,50.85714286
-16.57142857,-0.571428571,-21.71428571,-28.28571429,-15.42857143,8.428571429,6.5,50.42857143
